alternative,value,rank,size,iteration,custom_id,alternative_of_interest,starting_id,type,n_alternatives
5,1.0,1,169,70,2,True,2,IC,10
3,0.9012345679012346,2,169,70,6,False,2,IC,10
7,0.8827160493827161,3,169,70,8,False,2,IC,10
6,0.7283950617283951,4,169,70,3,False,2,IC,10
9,0.7283950617283951,4,169,70,7,False,2,IC,10
4,0.6049382716049383,6,169,70,1,False,2,IC,10
2,0.5802469135802469,7,169,70,9,False,2,IC,10
8,0.5308641975308642,8,169,70,5,False,2,IC,10
1,0.5061728395061729,9,169,70,4,False,2,IC,10
0,0.5061728395061729,9,169,70,10,False,2,IC,10
5,1.0,1,179,80,2,True,2,IC,10
3,0.9012345679012346,2,179,80,6,False,2,IC,10
7,0.8827160493827161,3,179,80,8,False,2,IC,10
6,0.7283950617283951,4,179,80,3,False,2,IC,10
9,0.7283950617283951,4,179,80,7,False,2,IC,10
4,0.6049382716049383,6,179,80,1,False,2,IC,10
2,0.5802469135802469,7,179,80,9,False,2,IC,10
8,0.5308641975308642,8,179,80,5,False,2,IC,10
1,0.5061728395061729,9,179,80,4,False,2,IC,10
0,0.5061728395061729,9,179,80,10,False,2,IC,10
5,1.0,1,189,90,2,True,2,IC,10
3,0.9012345679012346,2,189,90,6,False,2,IC,10
7,0.8827160493827161,3,189,90,8,False,2,IC,10
6,0.7283950617283951,4,189,90,3,False,2,IC,10
9,0.7283950617283951,4,189,90,7,False,2,IC,10
4,0.6049382716049383,6,189,90,1,False,2,IC,10
2,0.5802469135802469,7,189,90,9,False,2,IC,10
8,0.5308641975308642,8,189,90,5,False,2,IC,10
1,0.5061728395061729,9,189,90,4,False,2,IC,10
0,0.5061728395061729,9,189,90,10,False,2,IC,10
5,1.0,1,199,100,2,True,2,IC,10
3,0.9012345679012346,2,199,100,6,False,2,IC,10
7,0.8827160493827161,3,199,100,8,False,2,IC,10
6,0.7283950617283951,4,199,100,3,False,2,IC,10
9,0.7283950617283951,4,199,100,7,False,2,IC,10
4,0.6049382716049383,6,199,100,1,False,2,IC,10
2,0.5802469135802469,7,199,100,9,False,2,IC,10
8,0.5308641975308642,8,199,100,5,False,2,IC,10
1,0.5061728395061729,9,199,100,4,False,2,IC,10
0,0.5061728395061729,9,199,100,10,False,2,IC,10
5,1.0,1,100,0,1,False,2,IC,10
6,1.0,1,100,0,2,True,2,IC,10
1,1.0,1,100,0,3,False,2,IC,10
3,1.0,1,100,0,4,False,2,IC,10
7,1.0,1,100,0,5,False,2,IC,10
9,1.0,1,100,0,6,False,2,IC,10
2,1.0,1,100,0,7,False,2,IC,10
8,0.9938271604938271,8,100,0,8,False,2,IC,10
4,0.9876543209876544,9,100,0,9,False,2,IC,10
0,0.9753086419753088,10,100,0,10,False,2,IC,10
6,1.0,1,109,10,2,True,2,IC,10
8,1.0,1,109,10,8,False,2,IC,10
3,1.0,1,109,10,4,False,2,IC,10
9,0.9876543209876544,4,109,10,6,False,2,IC,10
4,0.9629629629629629,5,109,10,9,False,2,IC,10
1,0.9444444444444444,6,109,10,3,False,2,IC,10
7,0.9197530864197532,7,109,10,5,False,2,IC,10
2,0.8950617283950617,8,109,10,7,False,2,IC,10
5,0.8888888888888888,9,109,10,1,False,2,IC,10
0,0.7839506172839505,10,109,10,10,False,2,IC,10
6,1.0,1,119,20,2,True,2,IC,10
3,1.0,1,119,20,4,False,2,IC,10
9,0.9814814814814815,3,119,20,6,False,2,IC,10
8,0.845679012345679,4,119,20,8,False,2,IC,10
5,0.7592592592592592,5,119,20,1,False,2,IC,10
7,0.7098765432098766,6,119,20,5,False,2,IC,10
2,0.7037037037037037,7,119,20,7,False,2,IC,10
4,0.6975308641975309,8,119,20,9,False,2,IC,10
0,0.6111111111111112,9,119,20,10,False,2,IC,10
1,0.5987654320987654,10,119,20,3,False,2,IC,10
6,1.0,1,129,30,2,True,2,IC,10
3,0.9938271604938271,2,129,30,4,False,2,IC,10
9,0.9382716049382717,3,129,30,6,False,2,IC,10
8,0.802469135802469,4,129,30,8,False,2,IC,10
5,0.7530864197530864,5,129,30,1,False,2,IC,10
2,0.6111111111111112,6,129,30,7,False,2,IC,10
0,0.5802469135802469,7,129,30,10,False,2,IC,10
1,0.5679012345679012,8,129,30,3,False,2,IC,10
4,0.54320987654321,9,129,30,9,False,2,IC,10
7,0.54320987654321,9,129,30,5,False,2,IC,10
6,1.0,1,139,40,2,True,2,IC,10
3,0.925925925925926,2,139,40,4,False,2,IC,10
9,0.9074074074074073,3,139,40,6,False,2,IC,10
5,0.7407407407407407,4,139,40,1,False,2,IC,10
8,0.7407407407407407,4,139,40,8,False,2,IC,10
2,0.6049382716049383,6,139,40,7,False,2,IC,10
0,0.5802469135802469,7,139,40,10,False,2,IC,10
1,0.537037037037037,8,139,40,3,False,2,IC,10
4,0.5308641975308642,9,139,40,9,False,2,IC,10
7,0.5185185185185186,10,139,40,5,False,2,IC,10
6,1.0,1,149,50,2,True,2,IC,10
3,0.9012345679012346,2,149,50,4,False,2,IC,10
9,0.9012345679012346,2,149,50,6,False,2,IC,10
5,0.7283950617283951,4,149,50,1,False,2,IC,10
8,0.7283950617283951,4,149,50,8,False,2,IC,10
2,0.6049382716049383,6,149,50,7,False,2,IC,10
0,0.5802469135802469,7,149,50,10,False,2,IC,10
1,0.5308641975308642,8,149,50,3,False,2,IC,10
4,0.5185185185185186,9,149,50,9,False,2,IC,10
7,0.5061728395061729,10,149,50,5,False,2,IC,10
6,1.0,1,159,60,2,True,2,IC,10
3,0.9012345679012346,2,159,60,4,False,2,IC,10
9,0.9012345679012346,2,159,60,6,False,2,IC,10
5,0.7283950617283951,4,159,60,1,False,2,IC,10
8,0.7283950617283951,4,159,60,8,False,2,IC,10
2,0.6049382716049383,6,159,60,7,False,2,IC,10
0,0.5802469135802469,7,159,60,10,False,2,IC,10
1,0.5308641975308642,8,159,60,3,False,2,IC,10
4,0.5185185185185186,9,159,60,9,False,2,IC,10
7,0.5061728395061729,10,159,60,5,False,2,IC,10
6,1.0,1,169,70,2,True,2,IC,10
3,0.9012345679012346,2,169,70,4,False,2,IC,10
9,0.9012345679012346,2,169,70,6,False,2,IC,10
5,0.7283950617283951,4,169,70,1,False,2,IC,10
8,0.7283950617283951,4,169,70,8,False,2,IC,10
2,0.6049382716049383,6,169,70,7,False,2,IC,10
0,0.5802469135802469,7,169,70,10,False,2,IC,10
1,0.5308641975308642,8,169,70,3,False,2,IC,10
4,0.5185185185185186,9,169,70,9,False,2,IC,10
7,0.5061728395061729,10,169,70,5,False,2,IC,10
6,1.0,1,179,80,2,True,2,IC,10
3,0.9012345679012346,2,179,80,4,False,2,IC,10
9,0.9012345679012346,2,179,80,6,False,2,IC,10
5,0.7283950617283951,4,179,80,1,False,2,IC,10
8,0.7283950617283951,4,179,80,8,False,2,IC,10
2,0.6049382716049383,6,179,80,7,False,2,IC,10
0,0.5802469135802469,7,179,80,10,False,2,IC,10
1,0.5308641975308642,8,179,80,3,False,2,IC,10
4,0.5185185185185186,9,179,80,9,False,2,IC,10
7,0.5061728395061729,10,179,80,5,False,2,IC,10
6,1.0,1,189,90,2,True,2,IC,10
3,0.9012345679012346,2,189,90,4,False,2,IC,10
9,0.9012345679012346,2,189,90,6,False,2,IC,10
5,0.7283950617283951,4,189,90,1,False,2,IC,10
8,0.7283950617283951,4,189,90,8,False,2,IC,10
2,0.6049382716049383,6,189,90,7,False,2,IC,10
0,0.5802469135802469,7,189,90,10,False,2,IC,10
1,0.5308641975308642,8,189,90,3,False,2,IC,10
4,0.5185185185185186,9,189,90,9,False,2,IC,10
7,0.5061728395061729,10,189,90,5,False,2,IC,10
6,1.0,1,199,100,2,True,2,IC,10
3,0.9012345679012346,2,199,100,4,False,2,IC,10
9,0.9012345679012346,2,199,100,6,False,2,IC,10
5,0.7283950617283951,4,199,100,1,False,2,IC,10
8,0.7283950617283951,4,199,100,8,False,2,IC,10
2,0.6049382716049383,6,199,100,7,False,2,IC,10
0,0.5802469135802469,7,199,100,10,False,2,IC,10
1,0.5308641975308642,8,199,100,3,False,2,IC,10
4,0.5185185185185186,9,199,100,9,False,2,IC,10
7,0.5061728395061729,10,199,100,5,False,2,IC,10
7,1.0,1,100,0,1,False,2,IC,10
9,1.0,1,100,0,2,True,2,IC,10
0,1.0,1,100,0,3,False,2,IC,10
6,0.9938271604938271,4,100,0,4,False,2,IC,10
1,0.9876543209876544,5,100,0,5,False,2,IC,10
8,0.9876543209876544,5,100,0,6,False,2,IC,10
2,0.9876543209876544,5,100,0,7,False,2,IC,10
4,0.9691358024691357,8,100,0,8,False,2,IC,10
3,0.9506172839506173,9,100,0,9,False,2,IC,10
5,0.8765432098765432,10,100,0,10,False,2,IC,10
9,1.0,1,109,10,2,True,2,IC,10
7,0.9876543209876544,2,109,10,1,False,2,IC,10
6,0.9382716049382717,3,109,10,4,False,2,IC,10
3,0.9382716049382717,3,109,10,9,False,2,IC,10
2,0.9074074074074073,5,109,10,7,False,2,IC,10
0,0.8888888888888888,6,109,10,3,False,2,IC,10
5,0.8765432098765432,7,109,10,10,False,2,IC,10
8,0.8641975308641975,8,109,10,6,False,2,IC,10
1,0.8024691358024691,9,109,10,5,False,2,IC,10
4,0.7407407407407408,10,109,10,8,False,2,IC,10
9,1.0,1,119,20,2,True,2,IC,10
3,0.8827160493827161,2,119,20,9,False,2,IC,10
5,0.8395061728395061,3,119,20,10,False,2,IC,10
7,0.8395061728395061,3,119,20,1,False,2,IC,10
6,0.8148148148148148,5,119,20,4,False,2,IC,10
8,0.7716049382716048,6,119,20,6,False,2,IC,10
2,0.6728395061728395,7,119,20,7,False,2,IC,10
0,0.6481481481481483,8,119,20,3,False,2,IC,10
4,0.6296296296296297,9,119,20,8,False,2,IC,10
1,0.6234567901234569,10,119,20,5,False,2,IC,10
9,1.0,1,129,30,2,True,2,IC,10
3,0.8641975308641975,2,129,30,9,False,2,IC,10
5,0.8148148148148148,3,129,30,10,False,2,IC,10
6,0.7407407407407407,4,129,30,4,False,2,IC,10
8,0.7407407407407407,4,129,30,6,False,2,IC,10
7,0.6481481481481483,6,129,30,1,False,2,IC,10
2,0.5802469135802469,7,129,30,7,False,2,IC,10
4,0.5740740740740741,8,129,30,8,False,2,IC,10
1,0.54320987654321,9,129,30,5,False,2,IC,10
0,0.5370370370370371,10,129,30,3,False,2,IC,10
9,1.0,1,139,40,2,True,2,IC,10
3,0.8518518518518517,2,139,40,9,False,2,IC,10
5,0.8148148148148148,3,139,40,10,False,2,IC,10
6,0.7283950617283951,4,139,40,4,False,2,IC,10
8,0.7160493827160493,5,139,40,6,False,2,IC,10
7,0.6296296296296297,6,139,40,1,False,2,IC,10
4,0.5740740740740741,7,139,40,8,False,2,IC,10
1,0.5370370370370371,8,139,40,5,False,2,IC,10
2,0.5308641975308642,9,139,40,7,False,2,IC,10
0,0.5061728395061729,10,139,40,3,False,2,IC,10
9,1.0,1,149,50,2,True,2,IC,10
3,0.8518518518518517,2,149,50,9,False,2,IC,10
5,0.8148148148148148,3,149,50,10,False,2,IC,10
6,0.7283950617283951,4,149,50,4,False,2,IC,10
8,0.7160493827160493,5,149,50,6,False,2,IC,10
7,0.6049382716049383,6,149,50,1,False,2,IC,10
4,0.5740740740740741,7,149,50,8,False,2,IC,10
1,0.5308641975308643,8,149,50,5,False,2,IC,10
2,0.5308641975308642,9,149,50,7,False,2,IC,10
0,0.5061728395061729,10,149,50,3,False,2,IC,10
9,1.0,1,159,60,2,True,2,IC,10
3,0.8518518518518517,2,159,60,9,False,2,IC,10
5,0.8148148148148148,3,159,60,10,False,2,IC,10
6,0.7283950617283951,4,159,60,4,False,2,IC,10
8,0.7160493827160493,5,159,60,6,False,2,IC,10
7,0.6049382716049383,6,159,60,1,False,2,IC,10
4,0.5740740740740741,7,159,60,8,False,2,IC,10
1,0.5308641975308643,8,159,60,5,False,2,IC,10
2,0.5308641975308642,9,159,60,7,False,2,IC,10
0,0.5061728395061729,10,159,60,3,False,2,IC,10
9,1.0,1,169,70,2,True,2,IC,10
3,0.8518518518518517,2,169,70,9,False,2,IC,10
5,0.8148148148148148,3,169,70,10,False,2,IC,10
6,0.7283950617283951,4,169,70,4,False,2,IC,10
8,0.7160493827160493,5,169,70,6,False,2,IC,10
7,0.6049382716049383,6,169,70,1,False,2,IC,10
4,0.5740740740740741,7,169,70,8,False,2,IC,10
1,0.5308641975308643,8,169,70,5,False,2,IC,10
2,0.5308641975308642,9,169,70,7,False,2,IC,10
0,0.5061728395061729,10,169,70,3,False,2,IC,10
9,1.0,1,179,80,2,True,2,IC,10
3,0.8518518518518517,2,179,80,9,False,2,IC,10
5,0.8148148148148148,3,179,80,10,False,2,IC,10
6,0.7283950617283951,4,179,80,4,False,2,IC,10
8,0.7160493827160493,5,179,80,6,False,2,IC,10
7,0.6049382716049383,6,179,80,1,False,2,IC,10
4,0.5740740740740741,7,179,80,8,False,2,IC,10
1,0.5308641975308643,8,179,80,5,False,2,IC,10
2,0.5308641975308642,9,179,80,7,False,2,IC,10
0,0.5061728395061729,10,179,80,3,False,2,IC,10
9,1.0,1,189,90,2,True,2,IC,10
3,0.8518518518518517,2,189,90,9,False,2,IC,10
5,0.8148148148148148,3,189,90,10,False,2,IC,10
6,0.7283950617283951,4,189,90,4,False,2,IC,10
8,0.7160493827160493,5,189,90,6,False,2,IC,10
7,0.6049382716049383,6,189,90,1,False,2,IC,10
4,0.5740740740740741,7,189,90,8,False,2,IC,10
1,0.5308641975308643,8,189,90,5,False,2,IC,10
2,0.5308641975308642,9,189,90,7,False,2,IC,10
0,0.5061728395061729,10,189,90,3,False,2,IC,10
9,1.0,1,199,100,2,True,2,IC,10
3,0.8518518518518517,2,199,100,9,False,2,IC,10
5,0.8148148148148148,3,199,100,10,False,2,IC,10
6,0.7283950617283951,4,199,100,4,False,2,IC,10
8,0.7160493827160493,5,199,100,6,False,2,IC,10
7,0.6049382716049383,6,199,100,1,False,2,IC,10
4,0.5740740740740741,7,199,100,8,False,2,IC,10
1,0.5308641975308643,8,199,100,5,False,2,IC,10
2,0.5308641975308642,9,199,100,7,False,2,IC,10
0,0.5061728395061729,10,199,100,3,False,2,IC,10
5,1.0,1,100,0,1,False,2,IC,10
6,1.0,1,100,0,2,True,2,IC,10
1,1.0,1,100,0,3,False,2,IC,10
8,1.0,1,100,0,4,False,2,IC,10
7,1.0,1,100,0,5,False,2,IC,10
0,1.0,1,100,0,6,False,2,IC,10
9,1.0,1,100,0,7,False,2,IC,10
2,1.0,1,100,0,8,False,2,IC,10
3,0.95679012345679,9,100,0,9,False,2,IC,10
4,0.9444444444444444,10,100,0,10,False,2,IC,10
5,1.0,1,109,10,1,False,2,IC,10
6,1.0,1,109,10,2,True,2,IC,10
8,1.0,1,109,10,4,False,2,IC,10
7,1.0,1,109,10,5,False,2,IC,10
0,1.0,1,109,10,6,False,2,IC,10
1,0.9814814814814815,6,109,10,3,False,2,IC,10
9,0.9629629629629629,7,109,10,7,False,2,IC,10
4,0.9197530864197532,8,109,10,10,False,2,IC,10
2,0.9012345679012346,9,109,10,8,False,2,IC,10
3,0.8333333333333334,10,109,10,9,False,2,IC,10
6,1.0,1,119,20,2,True,2,IC,10
7,0.9938271604938271,2,119,20,5,False,2,IC,10
0,0.8950617283950617,3,119,20,6,False,2,IC,10
4,0.8827160493827161,4,119,20,10,False,2,IC,10
1,0.8518518518518517,5,119,20,3,False,2,IC,10
5,0.7839506172839505,6,119,20,1,False,2,IC,10
2,0.7098765432098766,7,119,20,8,False,2,IC,10
9,0.7037037037037037,8,119,20,7,False,2,IC,10
8,0.6728395061728396,9,119,20,4,False,2,IC,10
3,0.5925925925925926,10,119,20,9,False,2,IC,10
6,1.0,1,129,30,2,True,2,IC,10
7,0.9506172839506173,2,129,30,5,False,2,IC,10
4,0.8580246913580247,3,129,30,10,False,2,IC,10
1,0.7901234567901234,4,129,30,3,False,2,IC,10
0,0.7777777777777778,5,129,30,6,False,2,IC,10
9,0.6358024691358025,6,129,30,7,False,2,IC,10
2,0.6358024691358025,6,129,30,8,False,2,IC,10
8,0.6296296296296297,8,129,30,4,False,2,IC,10
5,0.5679012345679013,9,129,30,1,False,2,IC,10
3,0.537037037037037,10,129,30,9,False,2,IC,10
6,1.0,1,139,40,2,True,2,IC,10
7,0.9074074074074073,2,139,40,5,False,2,IC,10
4,0.845679012345679,3,139,40,10,False,2,IC,10
1,0.7407407407407407,4,139,40,3,False,2,IC,10
0,0.7407407407407407,4,139,40,6,False,2,IC,10
9,0.6172839506172839,6,139,40,7,False,2,IC,10
2,0.6172839506172839,6,139,40,8,False,2,IC,10
8,0.5740740740740741,8,139,40,4,False,2,IC,10
5,0.5185185185185186,9,139,40,1,False,2,IC,10
3,0.5185185185185185,10,139,40,9,False,2,IC,10
6,1.0,1,149,50,2,True,2,IC,10
7,0.9012345679012346,2,149,50,5,False,2,IC,10
4,0.845679012345679,3,149,50,10,False,2,IC,10
1,0.7283950617283951,4,149,50,3,False,2,IC,10
0,0.7283950617283951,4,149,50,6,False,2,IC,10
9,0.6049382716049383,6,149,50,7,False,2,IC,10
2,0.6049382716049383,6,149,50,8,False,2,IC,10
8,0.5308641975308642,8,149,50,4,False,2,IC,10
3,0.5185185185185185,9,149,50,9,False,2,IC,10
5,0.5061728395061729,10,149,50,1,False,2,IC,10
6,1.0,1,159,60,2,True,2,IC,10
7,0.9012345679012346,2,159,60,5,False,2,IC,10
4,0.845679012345679,3,159,60,10,False,2,IC,10
1,0.7283950617283951,4,159,60,3,False,2,IC,10
0,0.7283950617283951,4,159,60,6,False,2,IC,10
9,0.6049382716049383,6,159,60,7,False,2,IC,10
2,0.6049382716049383,6,159,60,8,False,2,IC,10
8,0.5308641975308642,8,159,60,4,False,2,IC,10
3,0.5185185185185185,9,159,60,9,False,2,IC,10
5,0.5061728395061729,10,159,60,1,False,2,IC,10
6,1.0,1,169,70,2,True,2,IC,10
7,0.9012345679012346,2,169,70,5,False,2,IC,10
4,0.845679012345679,3,169,70,10,False,2,IC,10
1,0.7283950617283951,4,169,70,3,False,2,IC,10
0,0.7283950617283951,4,169,70,6,False,2,IC,10
9,0.6049382716049383,6,169,70,7,False,2,IC,10
2,0.6049382716049383,6,169,70,8,False,2,IC,10
8,0.5308641975308642,8,169,70,4,False,2,IC,10
3,0.5185185185185185,9,169,70,9,False,2,IC,10
5,0.5061728395061729,10,169,70,1,False,2,IC,10
6,1.0,1,179,80,2,True,2,IC,10
7,0.9012345679012346,2,179,80,5,False,2,IC,10
4,0.845679012345679,3,179,80,10,False,2,IC,10
1,0.7283950617283951,4,179,80,3,False,2,IC,10
0,0.7283950617283951,4,179,80,6,False,2,IC,10
9,0.6049382716049383,6,179,80,7,False,2,IC,10
2,0.6049382716049383,6,179,80,8,False,2,IC,10
8,0.5308641975308642,8,179,80,4,False,2,IC,10
3,0.5185185185185185,9,179,80,9,False,2,IC,10
5,0.5061728395061729,10,179,80,1,False,2,IC,10
6,1.0,1,189,90,2,True,2,IC,10
7,0.9012345679012346,2,189,90,5,False,2,IC,10
4,0.845679012345679,3,189,90,10,False,2,IC,10
1,0.7283950617283951,4,189,90,3,False,2,IC,10
0,0.7283950617283951,4,189,90,6,False,2,IC,10
9,0.6049382716049383,6,189,90,7,False,2,IC,10
2,0.6049382716049383,6,189,90,8,False,2,IC,10
8,0.5308641975308642,8,189,90,4,False,2,IC,10
3,0.5185185185185185,9,189,90,9,False,2,IC,10
5,0.5061728395061729,10,189,90,1,False,2,IC,10
6,1.0,1,199,100,2,True,2,IC,10
7,0.9012345679012346,2,199,100,5,False,2,IC,10
4,0.845679012345679,3,199,100,10,False,2,IC,10
1,0.7283950617283951,4,199,100,3,False,2,IC,10
0,0.7283950617283951,4,199,100,6,False,2,IC,10
9,0.6049382716049383,6,199,100,7,False,2,IC,10
2,0.6049382716049383,6,199,100,8,False,2,IC,10
8,0.5308641975308642,8,199,100,4,False,2,IC,10
3,0.5185185185185185,9,199,100,9,False,2,IC,10
5,0.5061728395061729,10,199,100,1,False,2,IC,10
5,1.0,1,100,0,1,False,2,IC,10
1,1.0,1,100,0,2,True,2,IC,10
8,1.0,1,100,0,3,False,2,IC,10
3,1.0,1,100,0,4,False,2,IC,10
7,1.0,1,100,0,5,False,2,IC,10
2,1.0,1,100,0,6,False,2,IC,10
4,0.9938271604938271,7,100,0,7,False,2,IC,10
6,0.9938271604938271,7,100,0,8,False,2,IC,10
9,0.9938271604938271,7,100,0,9,False,2,IC,10
0,0.9938271604938271,7,100,0,10,False,2,IC,10
1,1.0,1,109,10,2,True,2,IC,10
2,1.0,1,109,10,6,False,2,IC,10
9,0.9938271604938271,3,109,10,9,False,2,IC,10
8,0.9814814814814815,4,109,10,3,False,2,IC,10
5,0.95679012345679,5,109,10,1,False,2,IC,10
4,0.9074074074074073,6,109,10,7,False,2,IC,10
3,0.8950617283950617,7,109,10,4,False,2,IC,10
7,0.8827160493827161,8,109,10,5,False,2,IC,10
0,0.8395061728395061,9,109,10,10,False,2,IC,10
6,0.7345679012345678,10,109,10,8,False,2,IC,10
1,1.0,1,119,20,2,True,2,IC,10
2,1.0,1,119,20,6,False,2,IC,10
9,0.9691358024691357,3,119,20,9,False,2,IC,10
8,0.8950617283950617,4,119,20,3,False,2,IC,10
7,0.7839506172839505,5,119,20,5,False,2,IC,10
3,0.7098765432098766,6,119,20,4,False,2,IC,10
4,0.7037037037037037,7,119,20,7,False,2,IC,10
5,0.6975308641975309,8,119,20,1,False,2,IC,10
0,0.6049382716049383,9,119,20,10,False,2,IC,10
6,0.5864197530864197,10,119,20,8,False,2,IC,10
1,1.0,1,129,30,2,True,2,IC,10
2,0.9629629629629629,2,129,30,6,False,2,IC,10
9,0.9197530864197532,3,129,30,9,False,2,IC,10
8,0.802469135802469,4,129,30,3,False,2,IC,10
7,0.7530864197530864,5,129,30,5,False,2,IC,10
3,0.6666666666666666,6,129,30,4,False,2,IC,10
5,0.654320987654321,7,129,30,1,False,2,IC,10
4,0.5864197530864198,8,129,30,7,False,2,IC,10
0,0.5555555555555556,9,129,30,10,False,2,IC,10
6,0.5493827160493827,10,129,30,8,False,2,IC,10
1,1.0,1,139,40,2,True,2,IC,10
2,0.9012345679012346,2,139,40,6,False,2,IC,10
9,0.8950617283950617,3,139,40,9,False,2,IC,10
8,0.7407407407407407,4,139,40,3,False,2,IC,10
7,0.7283950617283951,5,139,40,5,False,2,IC,10
5,0.6172839506172839,6,139,40,1,False,2,IC,10
3,0.6172839506172839,6,139,40,4,False,2,IC,10
4,0.5555555555555556,8,139,40,7,False,2,IC,10
6,0.5246913580246912,9,139,40,8,False,2,IC,10
0,0.5123456790123457,10,139,40,10,False,2,IC,10
1,1.0,1,149,50,2,True,2,IC,10
2,0.9012345679012346,2,149,50,6,False,2,IC,10
9,0.8950617283950617,3,149,50,9,False,2,IC,10
8,0.7283950617283951,4,149,50,3,False,2,IC,10
7,0.7283950617283951,4,149,50,5,False,2,IC,10
5,0.6049382716049383,6,149,50,1,False,2,IC,10
3,0.6049382716049383,6,149,50,4,False,2,IC,10
4,0.54320987654321,8,149,50,7,False,2,IC,10
6,0.5246913580246912,9,149,50,8,False,2,IC,10
0,0.5061728395061729,10,149,50,10,False,2,IC,10
1,1.0,1,159,60,2,True,2,IC,10
2,0.9012345679012346,2,159,60,6,False,2,IC,10
9,0.8950617283950617,3,159,60,9,False,2,IC,10
8,0.7283950617283951,4,159,60,3,False,2,IC,10
7,0.7283950617283951,4,159,60,5,False,2,IC,10
5,0.6049382716049383,6,159,60,1,False,2,IC,10
3,0.6049382716049383,6,159,60,4,False,2,IC,10
4,0.54320987654321,8,159,60,7,False,2,IC,10
6,0.5246913580246912,9,159,60,8,False,2,IC,10
0,0.5061728395061729,10,159,60,10,False,2,IC,10
1,1.0,1,169,70,2,True,2,IC,10
2,0.9012345679012346,2,169,70,6,False,2,IC,10
9,0.8950617283950617,3,169,70,9,False,2,IC,10
8,0.7283950617283951,4,169,70,3,False,2,IC,10
7,0.7283950617283951,4,169,70,5,False,2,IC,10
5,0.6049382716049383,6,169,70,1,False,2,IC,10
3,0.6049382716049383,6,169,70,4,False,2,IC,10
4,0.5308641975308643,8,169,70,7,False,2,IC,10
6,0.5246913580246912,9,169,70,8,False,2,IC,10
0,0.5061728395061729,10,169,70,10,False,2,IC,10
1,1.0,1,179,80,2,True,2,IC,10
2,0.9012345679012346,2,179,80,6,False,2,IC,10
9,0.8950617283950617,3,179,80,9,False,2,IC,10
8,0.7283950617283951,4,179,80,3,False,2,IC,10
7,0.7283950617283951,4,179,80,5,False,2,IC,10
5,0.6049382716049383,6,179,80,1,False,2,IC,10
3,0.6049382716049383,6,179,80,4,False,2,IC,10
4,0.5308641975308643,8,179,80,7,False,2,IC,10
6,0.5246913580246912,9,179,80,8,False,2,IC,10
0,0.5061728395061729,10,179,80,10,False,2,IC,10
1,1.0,1,189,90,2,True,2,IC,10
2,0.9012345679012346,2,189,90,6,False,2,IC,10
9,0.8950617283950617,3,189,90,9,False,2,IC,10
8,0.7283950617283951,4,189,90,3,False,2,IC,10
7,0.7283950617283951,4,189,90,5,False,2,IC,10
5,0.6049382716049383,6,189,90,1,False,2,IC,10
3,0.6049382716049383,6,189,90,4,False,2,IC,10
4,0.5308641975308643,8,189,90,7,False,2,IC,10
6,0.5246913580246912,9,189,90,8,False,2,IC,10
0,0.5061728395061729,10,189,90,10,False,2,IC,10
1,1.0,1,199,100,2,True,2,IC,10
2,0.9012345679012346,2,199,100,6,False,2,IC,10
9,0.8950617283950617,3,199,100,9,False,2,IC,10
8,0.7283950617283951,4,199,100,3,False,2,IC,10
7,0.7283950617283951,4,199,100,5,False,2,IC,10
5,0.6049382716049383,6,199,100,1,False,2,IC,10
3,0.6049382716049383,6,199,100,4,False,2,IC,10
4,0.5308641975308643,8,199,100,7,False,2,IC,10
6,0.5246913580246912,9,199,100,8,False,2,IC,10
0,0.5061728395061729,10,199,100,10,False,2,IC,10
4,1.0,1,100,0,1,False,2,IC,10
5,1.0,1,100,0,2,True,2,IC,10
3,1.0,1,100,0,3,False,2,IC,10
9,1.0,1,100,0,4,False,2,IC,10
0,0.9876543209876544,5,100,0,5,False,2,IC,10
6,0.9814814814814815,6,100,0,6,False,2,IC,10
7,0.9753086419753088,7,100,0,7,False,2,IC,10
1,0.9629629629629629,8,100,0,8,False,2,IC,10
8,0.9382716049382717,9,100,0,9,False,2,IC,10
2,0.8950617283950617,10,100,0,10,False,2,IC,10
5,1.0,1,109,10,2,True,2,IC,10
3,1.0,1,109,10,3,False,2,IC,10
9,1.0,1,109,10,4,False,2,IC,10
4,0.9814814814814815,4,109,10,1,False,2,IC,10
7,0.9197530864197532,5,109,10,7,False,2,IC,10
1,0.9012345679012346,6,109,10,8,False,2,IC,10
6,0.8888888888888888,7,109,10,6,False,2,IC,10
2,0.8827160493827161,8,109,10,10,False,2,IC,10
0,0.8518518518518519,9,109,10,5,False,2,IC,10
8,0.8395061728395061,10,109,10,9,False,2,IC,10
5,1.0,1,119,20,2,True,2,IC,10
9,0.9691358024691357,2,119,20,4,False,2,IC,10
4,0.9012345679012346,3,119,20,1,False,2,IC,10
2,0.8827160493827161,4,119,20,10,False,2,IC,10
7,0.7901234567901234,5,119,20,7,False,2,IC,10
3,0.7654320987654322,6,119,20,3,False,2,IC,10
1,0.7469135802469136,7,119,20,8,False,2,IC,10
6,0.6728395061728395,8,119,20,6,False,2,IC,10
8,0.6234567901234569,9,119,20,9,False,2,IC,10
0,0.6111111111111112,10,119,20,5,False,2,IC,10
5,1.0,1,129,30,2,True,2,IC,10
9,0.925925925925926,2,129,30,4,False,2,IC,10
2,0.845679012345679,3,129,30,10,False,2,IC,10
4,0.7716049382716048,4,129,30,1,False,2,IC,10
