alternative,value,rank,size,iteration,custom_id,alternative_of_interest,starting_id,type,n_alternatives
2,0.8333333333333334,3,179,80,7,False,2,IC,7
5,0.638888888888889,4,179,80,1,False,2,IC,7
3,0.638888888888889,4,179,80,3,False,2,IC,7
0,0.5277777777777778,6,179,80,6,False,2,IC,7
4,0.5277777777777778,6,179,80,4,False,2,IC,7
1,1.0,1,189,90,2,True,2,IC,7
6,0.861111111111111,2,189,90,5,False,2,IC,7
2,0.8333333333333334,3,189,90,7,False,2,IC,7
5,0.638888888888889,4,189,90,1,False,2,IC,7
3,0.638888888888889,4,189,90,3,False,2,IC,7
0,0.5277777777777778,6,189,90,6,False,2,IC,7
4,0.5277777777777778,6,189,90,4,False,2,IC,7
1,1.0,1,199,100,2,True,2,IC,7
6,0.861111111111111,2,199,100,5,False,2,IC,7
2,0.8333333333333334,3,199,100,7,False,2,IC,7
5,0.638888888888889,4,199,100,1,False,2,IC,7
3,0.638888888888889,4,199,100,3,False,2,IC,7
0,0.5277777777777778,6,199,100,6,False,2,IC,7
4,0.5277777777777778,6,199,100,4,False,2,IC,7
5,1.0,1,100,0,1,False,2,IC,7
0,1.0,1,100,0,2,True,2,IC,7
1,1.0,1,100,0,3,False,2,IC,7
4,1.0,1,100,0,4,False,2,IC,7
6,1.0,1,100,0,5,False,2,IC,7
3,0.9722222222222223,6,100,0,6,False,2,IC,7
2,0.9722222222222223,6,100,0,7,False,2,IC,7
0,1.0,1,109,10,2,True,2,IC,7
4,1.0,1,109,10,4,False,2,IC,7
3,0.9583333333333334,3,109,10,6,False,2,IC,7
5,0.9444444444444445,4,109,10,1,False,2,IC,7
1,0.888888888888889,5,109,10,3,False,2,IC,7
6,0.8194444444444445,6,109,10,5,False,2,IC,7
2,0.7777777777777778,7,109,10,7,False,2,IC,7
0,1.0,1,119,20,2,True,2,IC,7
4,0.9722222222222223,2,119,20,4,False,2,IC,7
3,0.8611111111111112,3,119,20,6,False,2,IC,7
1,0.7361111111111112,4,119,20,3,False,2,IC,7
2,0.7361111111111112,4,119,20,7,False,2,IC,7
5,0.6944444444444445,6,119,20,1,False,2,IC,7
6,0.5833333333333334,7,119,20,5,False,2,IC,7
0,1.0,1,129,30,2,True,2,IC,7
4,0.9027777777777778,2,129,30,4,False,2,IC,7
3,0.8333333333333334,3,129,30,6,False,2,IC,7
1,0.6944444444444445,4,129,30,3,False,2,IC,7
2,0.6944444444444445,4,129,30,7,False,2,IC,7
5,0.5833333333333334,6,129,30,1,False,2,IC,7
6,0.5416666666666666,7,129,30,5,False,2,IC,7
0,1.0,1,139,40,2,True,2,IC,7
4,0.8888888888888888,2,139,40,4,False,2,IC,7
3,0.8333333333333334,3,139,40,6,False,2,IC,7
2,0.6527777777777778,4,139,40,7,False,2,IC,7
1,0.638888888888889,5,139,40,3,False,2,IC,7
5,0.5555555555555555,6,139,40,1,False,2,IC,7
6,0.5277777777777778,7,139,40,5,False,2,IC,7
0,1.0,1,149,50,2,True,2,IC,7
4,0.8611111111111112,2,149,50,4,False,2,IC,7
3,0.8333333333333334,3,149,50,6,False,2,IC,7
1,0.638888888888889,4,149,50,3,False,2,IC,7
2,0.638888888888889,4,149,50,7,False,2,IC,7
5,0.5277777777777778,6,149,50,1,False,2,IC,7
6,0.5277777777777778,6,149,50,5,False,2,IC,7
0,1.0,1,159,60,2,True,2,IC,7
4,0.8611111111111112,2,159,60,4,False,2,IC,7
3,0.8333333333333334,3,159,60,6,False,2,IC,7
1,0.638888888888889,4,159,60,3,False,2,IC,7
2,0.638888888888889,4,159,60,7,False,2,IC,7
5,0.5277777777777778,6,159,60,1,False,2,IC,7
6,0.5277777777777778,6,159,60,5,False,2,IC,7
0,1.0,1,169,70,2,True,2,IC,7
4,0.8611111111111112,2,169,70,4,False,2,IC,7
3,0.8333333333333334,3,169,70,6,False,2,IC,7
1,0.638888888888889,4,169,70,3,False,2,IC,7
2,0.638888888888889,4,169,70,7,False,2,IC,7
5,0.5277777777777778,6,169,70,1,False,2,IC,7
6,0.5277777777777778,6,169,70,5,False,2,IC,7
0,1.0,1,179,80,2,True,2,IC,7
4,0.8611111111111112,2,179,80,4,False,2,IC,7
3,0.8333333333333334,3,179,80,6,False,2,IC,7
1,0.638888888888889,4,179,80,3,False,2,IC,7
2,0.638888888888889,4,179,80,7,False,2,IC,7
5,0.5277777777777778,6,179,80,1,False,2,IC,7
6,0.5277777777777778,6,179,80,5,False,2,IC,7
0,1.0,1,189,90,2,True,2,IC,7
4,0.8611111111111112,2,189,90,4,False,2,IC,7
3,0.8333333333333334,3,189,90,6,False,2,IC,7
1,0.638888888888889,4,189,90,3,False,2,IC,7
2,0.638888888888889,4,189,90,7,False,2,IC,7
5,0.5277777777777778,6,189,90,1,False,2,IC,7
6,0.5277777777777778,6,189,90,5,False,2,IC,7
0,1.0,1,199,100,2,True,2,IC,7
4,0.8611111111111112,2,199,100,4,False,2,IC,7
3,0.8333333333333334,3,199,100,6,False,2,IC,7
1,0.638888888888889,4,199,100,3,False,2,IC,7
2,0.638888888888889,4,199,100,7,False,2,IC,7
5,0.5277777777777778,6,199,100,1,False,2,IC,7
6,0.5277777777777778,6,199,100,5,False,2,IC,7
1,1.0,1,100,0,1,False,2,IC,7
0,1.0,1,100,0,2,True,2,IC,7
5,1.0,1,100,0,3,False,2,IC,7
3,1.0,1,100,0,4,False,2,IC,7
4,1.0,1,100,0,5,False,2,IC,7
6,1.0,1,100,0,6,False,2,IC,7
2,0.9583333333333334,7,100,0,7,False,2,IC,7
0,1.0,1,109,10,2,True,2,IC,7
3,1.0,1,109,10,4,False,2,IC,7
4,1.0,1,109,10,5,False,2,IC,7
1,0.9722222222222223,4,109,10,1,False,2,IC,7
6,0.9444444444444445,5,109,10,6,False,2,IC,7
5,0.9305555555555557,6,109,10,3,False,2,IC,7
2,0.8472222222222222,7,109,10,7,False,2,IC,7
0,1.0,1,119,20,2,True,2,IC,7
3,0.986111111111111,2,119,20,4,False,2,IC,7
4,0.9444444444444443,3,119,20,5,False,2,IC,7
6,0.763888888888889,4,119,20,6,False,2,IC,7
5,0.75,5,119,20,3,False,2,IC,7
1,0.7361111111111112,6,119,20,1,False,2,IC,7
2,0.625,7,119,20,7,False,2,IC,7
0,1.0,1,129,30,2,True,2,IC,7
3,0.9722222222222223,2,129,30,4,False,2,IC,7
4,0.8888888888888888,3,129,30,5,False,2,IC,7
5,0.6944444444444445,4,129,30,3,False,2,IC,7
6,0.6944444444444445,4,129,30,6,False,2,IC,7
1,0.6388888888888888,6,129,30,1,False,2,IC,7
2,0.5555555555555556,7,129,30,7,False,2,IC,7
0,1.0,1,139,40,2,True,2,IC,7
3,0.9027777777777777,2,139,40,4,False,2,IC,7
4,0.8611111111111112,3,139,40,5,False,2,IC,7
5,0.6666666666666666,4,139,40,3,False,2,IC,7
6,0.6666666666666666,4,139,40,6,False,2,IC,7
1,0.5833333333333334,6,139,40,1,False,2,IC,7
2,0.5277777777777778,7,139,40,7,False,2,IC,7
0,1.0,1,149,50,2,True,2,IC,7
3,0.888888888888889,2,149,50,4,False,2,IC,7
4,0.8611111111111112,3,149,50,5,False,2,IC,7
5,0.638888888888889,4,149,50,3,False,2,IC,7
6,0.638888888888889,4,149,50,6,False,2,IC,7
1,0.5277777777777778,6,149,50,1,False,2,IC,7
2,0.5277777777777778,6,149,50,7,False,2,IC,7
0,1.0,1,159,60,2,True,2,IC,7
4,0.8611111111111112,2,159,60,5,False,2,IC,7
3,0.861111111111111,3,159,60,4,False,2,IC,7
5,0.638888888888889,4,159,60,3,False,2,IC,7
6,0.638888888888889,4,159,60,6,False,2,IC,7
1,0.5277777777777778,6,159,60,1,False,2,IC,7
2,0.5277777777777778,6,159,60,7,False,2,IC,7
0,1.0,1,169,70,2,True,2,IC,7
4,0.8611111111111112,2,169,70,5,False,2,IC,7
3,0.861111111111111,3,169,70,4,False,2,IC,7
5,0.638888888888889,4,169,70,3,False,2,IC,7
6,0.638888888888889,4,169,70,6,False,2,IC,7
1,0.5277777777777778,6,169,70,1,False,2,IC,7
2,0.5277777777777778,6,169,70,7,False,2,IC,7
0,1.0,1,179,80,2,True,2,IC,7
4,0.8611111111111112,2,179,80,5,False,2,IC,7
3,0.861111111111111,3,179,80,4,False,2,IC,7
5,0.638888888888889,4,179,80,3,False,2,IC,7
6,0.638888888888889,4,179,80,6,False,2,IC,7
1,0.5277777777777778,6,179,80,1,False,2,IC,7
2,0.5277777777777778,6,179,80,7,False,2,IC,7
0,1.0,1,189,90,2,True,2,IC,7
4,0.8611111111111112,2,189,90,5,False,2,IC,7
3,0.861111111111111,3,189,90,4,False,2,IC,7
5,0.638888888888889,4,189,90,3,False,2,IC,7
6,0.638888888888889,4,189,90,6,False,2,IC,7
1,0.5277777777777778,6,189,90,1,False,2,IC,7
2,0.5277777777777778,6,189,90,7,False,2,IC,7
0,1.0,1,199,100,2,True,2,IC,7
4,0.8611111111111112,2,199,100,5,False,2,IC,7
3,0.861111111111111,3,199,100,4,False,2,IC,7
5,0.638888888888889,4,199,100,3,False,2,IC,7
6,0.638888888888889,4,199,100,6,False,2,IC,7
1,0.5277777777777778,6,199,100,1,False,2,IC,7
2,0.5277777777777778,6,199,100,7,False,2,IC,7
0,1.0,1,100,0,1,False,2,IC,7
1,1.0,1,100,0,2,True,2,IC,7
4,1.0,1,100,0,3,False,2,IC,7
6,0.9861111111111112,4,100,0,4,False,2,IC,7
5,0.9583333333333334,5,100,0,5,False,2,IC,7
2,0.9305555555555555,6,100,0,6,False,2,IC,7
3,0.9027777777777778,7,100,0,7,False,2,IC,7
1,1.0,1,109,10,2,True,2,IC,7
4,0.9722222222222223,2,109,10,3,False,2,IC,7
6,0.9166666666666666,3,109,10,4,False,2,IC,7
2,0.9166666666666666,3,109,10,6,False,2,IC,7
3,0.9027777777777778,5,109,10,7,False,2,IC,7
0,0.875,6,109,10,1,False,2,IC,7
5,0.8611111111111112,7,109,10,5,False,2,IC,7
1,1.0,1,119,20,2,True,2,IC,7
2,0.9166666666666666,2,119,20,6,False,2,IC,7
3,0.8611111111111112,3,119,20,7,False,2,IC,7
0,0.763888888888889,4,119,20,1,False,2,IC,7
4,0.75,5,119,20,3,False,2,IC,7
6,0.6666666666666666,6,119,20,4,False,2,IC,7
5,0.5833333333333334,7,119,20,5,False,2,IC,7
1,1.0,1,129,30,2,True,2,IC,7
2,0.8611111111111112,2,129,30,6,False,2,IC,7
3,0.8194444444444445,3,129,30,7,False,2,IC,7
0,0.6666666666666666,4,129,30,1,False,2,IC,7
6,0.625,5,129,30,4,False,2,IC,7
4,0.5833333333333334,6,129,30,3,False,2,IC,7
5,0.5138888888888888,7,129,30,5,False,2,IC,7
1,1.0,1,139,40,2,True,2,IC,7
2,0.8194444444444445,2,139,40,6,False,2,IC,7
3,0.7916666666666666,3,139,40,7,False,2,IC,7
0,0.6527777777777778,4,139,40,1,False,2,IC,7
6,0.625,5,139,40,4,False,2,IC,7
4,0.5555555555555556,6,139,40,3,False,2,IC,7
5,0.4861111111111111,7,139,40,5,False,2,IC,7
1,1.0,1,149,50,2,True,2,IC,7
2,0.8055555555555555,2,149,50,6,False,2,IC,7
3,0.7916666666666666,3,149,50,7,False,2,IC,7
0,0.638888888888889,4,149,50,1,False,2,IC,7
6,0.625,5,149,50,4,False,2,IC,7
4,0.5277777777777778,6,149,50,3,False,2,IC,7
5,0.4861111111111111,7,149,50,5,False,2,IC,7
1,1.0,1,159,60,2,True,2,IC,7
2,0.8055555555555555,2,159,60,6,False,2,IC,7
3,0.7916666666666666,3,159,60,7,False,2,IC,7
0,0.638888888888889,4,159,60,1,False,2,IC,7
6,0.625,5,159,60,4,False,2,IC,7
4,0.5277777777777778,6,159,60,3,False,2,IC,7
5,0.4861111111111111,7,159,60,5,False,2,IC,7
1,1.0,1,169,70,2,True,2,IC,7
2,0.8055555555555555,2,169,70,6,False,2,IC,7
3,0.7916666666666666,3,169,70,7,False,2,IC,7
0,0.638888888888889,4,169,70,1,False,2,IC,7
6,0.625,5,169,70,4,False,2,IC,7
4,0.5277777777777778,6,169,70,3,False,2,IC,7
5,0.4861111111111111,7,169,70,5,False,2,IC,7
1,1.0,1,179,80,2,True,2,IC,7
2,0.8055555555555555,2,179,80,6,False,2,IC,7
3,0.7916666666666666,3,179,80,7,False,2,IC,7
0,0.638888888888889,4,179,80,1,False,2,IC,7
6,0.625,5,179,80,4,False,2,IC,7
4,0.5277777777777778,6,179,80,3,False,2,IC,7
5,0.4861111111111111,7,179,80,5,False,2,IC,7
1,1.0,1,189,90,2,True,2,IC,7
2,0.8055555555555555,2,189,90,6,False,2,IC,7
3,0.7916666666666666,3,189,90,7,False,2,IC,7
0,0.638888888888889,4,189,90,1,False,2,IC,7
6,0.625,5,189,90,4,False,2,IC,7
4,0.5277777777777778,6,189,90,3,False,2,IC,7
5,0.4861111111111111,7,189,90,5,False,2,IC,7
1,1.0,1,199,100,2,True,2,IC,7
2,0.8055555555555555,2,199,100,6,False,2,IC,7
3,0.7916666666666666,3,199,100,7,False,2,IC,7
0,0.638888888888889,4,199,100,1,False,2,IC,7
6,0.625,5,199,100,4,False,2,IC,7
4,0.5277777777777778,6,199,100,3,False,2,IC,7
5,0.4861111111111111,7,199,100,5,False,2,IC,7
1,1.0,1,100,0,1,False,2,IC,7
0,1.0,1,100,0,2,True,2,IC,7
5,1.0,1,100,0,3,False,2,IC,7
4,1.0,1,100,0,4,False,2,IC,7
6,1.0,1,100,0,5,False,2,IC,7
2,1.0,1,100,0,6,False,2,IC,7
3,0.9444444444444445,7,100,0,7,False,2,IC,7
0,1.0,1,109,10,2,True,2,IC,7
6,1.0,1,109,10,5,False,2,IC,7
2,1.0,1,109,10,6,False,2,IC,7
1,0.9444444444444445,4,109,10,1,False,2,IC,7
5,0.888888888888889,5,109,10,3,False,2,IC,7
4,0.8333333333333334,6,109,10,4,False,2,IC,7
3,0.7222222222222223,7,109,10,7,False,2,IC,7
0,1.0,1,119,20,2,True,2,IC,7
6,0.986111111111111,2,119,20,5,False,2,IC,7
2,0.9722222222222223,3,119,20,6,False,2,IC,7
4,0.7777777777777778,4,119,20,4,False,2,IC,7
5,0.6944444444444445,5,119,20,3,False,2,IC,7
1,0.6527777777777778,6,119,20,1,False,2,IC,7
3,0.638888888888889,7,119,20,7,False,2,IC,7
0,1.0,1,129,30,2,True,2,IC,7
2,0.888888888888889,2,129,30,6,False,2,IC,7
6,0.8888888888888888,3,129,30,5,False,2,IC,7
4,0.6666666666666666,4,129,30,4,False,2,IC,7
3,0.6111111111111112,5,129,30,7,False,2,IC,7
1,0.5833333333333334,6,129,30,1,False,2,IC,7
5,0.5555555555555556,7,129,30,3,False,2,IC,7
0,1.0,1,139,40,2,True,2,IC,7
6,0.8888888888888888,2,139,40,5,False,2,IC,7
2,0.8611111111111112,3,139,40,6,False,2,IC,7
4,0.638888888888889,4,139,40,4,False,2,IC,7
3,0.6111111111111112,5,139,40,7,False,2,IC,7
1,0.5277777777777778,6,139,40,1,False,2,IC,7
5,0.5277777777777778,6,139,40,3,False,2,IC,7
0,1.0,1,149,50,2,True,2,IC,7
6,0.8611111111111112,2,149,50,5,False,2,IC,7
2,0.8611111111111112,2,149,50,6,False,2,IC,7
4,0.638888888888889,4,149,50,4,False,2,IC,7
3,0.6111111111111112,5,149,50,7,False,2,IC,7
1,0.5277777777777778,6,149,50,1,False,2,IC,7
5,0.5277777777777778,6,149,50,3,False,2,IC,7
0,1.0,1,159,60,2,True,2,IC,7
6,0.8611111111111112,2,159,60,5,False,2,IC,7
2,0.8611111111111112,2,159,60,6,False,2,IC,7
4,0.638888888888889,4,159,60,4,False,2,IC,7
3,0.6111111111111112,5,159,60,7,False,2,IC,7
1,0.5277777777777778,6,159,60,1,False,2,IC,7
5,0.5277777777777778,6,159,60,3,False,2,IC,7
0,1.0,1,169,70,2,True,2,IC,7
6,0.8611111111111112,2,169,70,5,False,2,IC,7
2,0.8611111111111112,2,169,70,6,False,2,IC,7
4,0.638888888888889,4,169,70,4,False,2,IC,7
3,0.6111111111111112,5,169,70,7,False,2,IC,7
1,0.5277777777777778,6,169,70,1,False,2,IC,7
5,0.5277777777777778,6,169,70,3,False,2,IC,7
0,1.0,1,179,80,2,True,2,IC,7
6,0.8611111111111112,2,179,80,5,False,2,IC,7
2,0.8611111111111112,2,179,80,6,False,2,IC,7
4,0.638888888888889,4,179,80,4,False,2,IC,7
3,0.6111111111111112,5,179,80,7,False,2,IC,7
1,0.5277777777777778,6,179,80,1,False,2,IC,7
5,0.5277777777777778,6,179,80,3,False,2,IC,7
0,1.0,1,189,90,2,True,2,IC,7
6,0.8611111111111112,2,189,90,5,False,2,IC,7
2,0.8611111111111112,2,189,90,6,False,2,IC,7
4,0.638888888888889,4,189,90,4,False,2,IC,7
3,0.6111111111111112,5,189,90,7,False,2,IC,7
1,0.5277777777777778,6,189,90,1,False,2,IC,7
5,0.5277777777777778,6,189,90,3,False,2,IC,7
0,1.0,1,199,100,2,True,2,IC,7
6,0.8611111111111112,2,199,100,5,False,2,IC,7
2,0.8611111111111112,2,199,100,6,False,2,IC,7
4,0.638888888888889,4,199,100,4,False,2,IC,7
3,0.6111111111111112,5,199,100,7,False,2,IC,7
1,0.5277777777777778,6,199,100,1,False,2,IC,7
5,0.5277777777777778,6,199,100,3,False,2,IC,7
5,1.0,1,100,0,1,False,2,IC,7
1,1.0,1,100,0,2,True,2,IC,7
3,1.0,1,100,0,3,False,2,IC,7
4,1.0,1,100,0,4,False,2,IC,7
6,1.0,1,100,0,5,False,2,IC,7
2,1.0,1,100,0,6,False,2,IC,7
0,0.9722222222222223,7,100,0,7,False,2,IC,7
1,1.0,1,109,10,2,True,2,IC,7
3,0.9861111111111112,2,109,10,3,False,2,IC,7
2,0.9722222222222222,3,109,10,6,False,2,IC,7
6,0.9444444444444445,4,109,10,5,False,2,IC,7
5,0.9166666666666666,5,109,10,1,False,2,IC,7
0,0.8888888888888888,6,109,10,7,False,2,IC,7
4,0.8472222222222223,7,109,10,4,False,2,IC,7
1,1.0,1,119,20,2,True,2,IC,7
3,0.9722222222222223,2,119,20,3,False,2,IC,7
2,0.9305555555555555,3,119,20,6,False,2,IC,7
5,0.8333333333333334,4,119,20,1,False,2,IC,7
0,0.7361111111111112,5,119,20,7,False,2,IC,7
6,0.6666666666666666,6,119,20,5,False,2,IC,7
4,0.5833333333333334,7,119,20,4,False,2,IC,7
1,1.0,1,129,30,2,True,2,IC,7
3,0.8888888888888888,2,129,30,3,False,2,IC,7
2,0.8611111111111112,3,129,30,6,False,2,IC,7
5,0.75,4,129,30,1,False,2,IC,7
0,0.6666666666666666,5,129,30,7,False,2,IC,7
6,0.5555555555555556,6,129,30,5,False,2,IC,7
4,0.5277777777777778,7,129,30,4,False,2,IC,7
1,1.0,1,139,40,2,True,2,IC,7
3,0.8888888888888888,2,139,40,3,False,2,IC,7
2,0.8611111111111112,3,139,40,6,False,2,IC,7
0,0.6666666666666666,4,139,40,7,False,2,IC,7
5,0.638888888888889,5,139,40,1,False,2,IC,7
4,0.5277777777777778,6,139,40,4,False,2,IC,7
6,0.5277777777777778,6,139,40,5,False,2,IC,7
1,1.0,1,149,50,2,True,2,IC,7
3,0.8611111111111112,2,149,50,3,False,2,IC,7
2,0.8611111111111112,2,149,50,6,False,2,IC,7
5,0.638888888888889,4,149,50,1,False,2,IC,7
0,0.6111111111111112,5,149,50,7,False,2,IC,7
4,0.5277777777777778,6,149,50,4,False,2,IC,7
6,0.5277777777777778,6,149,50,5,False,2,IC,7
1,1.0,1,159,60,2,True,2,IC,7
3,0.8611111111111112,2,159,60,3,False,2,IC,7
2,0.8611111111111112,2,159,60,6,False,2,IC,7
5,0.638888888888889,4,159,60,1,False,2,IC,7
0,0.6111111111111112,5,159,60,7,False,2,IC,7
4,0.5277777777777778,6,159,60,4,False,2,IC,7
6,0.5277777777777778,6,159,60,5,False,2,IC,7
1,1.0,1,169,70,2,True,2,IC,7
3,0.8611111111111112,2,169,70,3,False,2,IC,7
2,0.8611111111111112,2,169,70,6,False,2,IC,7
5,0.638888888888889,4,169,70,1,False,2,IC,7
0,0.6111111111111112,5,169,70,7,False,2,IC,7
4,0.5277777777777778,6,169,70,4,False,2,IC,7
6,0.5277777777777778,6,169,70,5,False,2,IC,7
1,1.0,1,179,80,2,True,2,IC,7
3,0.8611111111111112,2,179,80,3,False,2,IC,7
2,0.8611111111111112,2,179,80,6,False,2,IC,7
5,0.638888888888889,4,179,80,1,False,2,IC,7
0,0.6111111111111112,5,179,80,7,False,2,IC,7
4,0.5277777777777778,6,179,80,4,False,2,IC,7
6,0.5277777777777778,6,179,80,5,False,2,IC,7
1,1.0,1,189,90,2,True,2,IC,7
3,0.8611111111111112,2,189,90,3,False,2,IC,7
2,0.8611111111111112,2,189,90,6,False,2,IC,7
5,0.638888888888889,4,189,90,1,False,2,IC,7
0,0.6111111111111112,5,189,90,7,False,2,IC,7
4,0.5277777777777778,6,189,90,4,False,2,IC,7
6,0.5277777777777778,6,189,90,5,False,2,IC,7
1,1.0,1,199,100,2,True,2,IC,7
3,0.8611111111111112,2,199,100,3,False,2,IC,7
2,0.8611111111111112,2,199,100,6,False,2,IC,7
5,0.638888888888889,4,199,100,1,False,2,IC,7
0,0.6111111111111112,5,199,100,7,False,2,IC,7
4,0.5277777777777778,6,199,100,4,False,2,IC,7
6,0.5277777777777778,6,199,100,5,False,2,IC,7
1,1.0,1,100,0,1,False,2,IC,7
5,1.0,1,100,0,2,True,2,IC,7
3,1.0,1,100,0,3,False,2,IC,7
6,1.0,1,100,0,4,False,2,IC,7
2,1.0,1,100,0,5,False,2,IC,7
0,0.986111111111111,6,100,0,6,False,2,IC,7
4,0.875,7,100,0,7,False,2,IC,7
1,1.0,1,109,10,1,False,2,IC,7
5,1.0,1,109,10,2,True,2,IC,7
3,1.0,1,109,10,3,False,2,IC,7
6,1.0,1,109,10,4,False,2,IC,7
2,0.9305555555555555,5,109,10,5,False,2,IC,7
0,0.8333333333333334,6,109,10,6,False,2,IC,7
4,0.8194444444444445,7,109,10,7,False,2,IC,7
5,1.0,1,119,20,2,True,2,IC,7
3,0.9722222222222223,2,119,20,3,False,2,IC,7
1,0.8472222222222222,3,119,20,1,False,2,IC,7
4,0.8194444444444445,4,119,20,7,False,2,IC,7
6,0.6944444444444445,5,119,20,4,False,2,IC,7
0,0.638888888888889,6,119,20,6,False,2,IC,7
2,0.5833333333333334,7,119,20,5,False,2,IC,7
5,1.0,1,129,30,2,True,2,IC,7
3,0.8888888888888888,2,129,30,3,False,2,IC,7
4,0.7777777777777778,3,129,30,7,False,2,IC,7
1,0.7083333333333334,4,129,30,1,False,2,IC,7
6,0.6944444444444445,5,129,30,4,False,2,IC,7
2,0.5555555555555556,6,129,30,5,False,2,IC,7
0,0.5555555555555555,7,129,30,6,False,2,IC,7
5,1.0,1,139,40,2,True,2,IC,7
3,0.861111111111111,2,139,40,3,False,2,IC,7
4,0.7638888888888888,3,139,40,7,False,2,IC,7
1,0.6666666666666666,4,139,40,1,False,2,IC,7
6,0.6666666666666666,4,139,40,4,False,2,IC,7
0,0.5416666666666666,6,139,40,6,False,2,IC,7
2,0.5277777777777778,7,139,40,5,False,2,IC,7
5,1.0,1,149,50,2,True,2,IC,7
3,0.861111111111111,2,149,50,3,False,2,IC,7
4,0.7638888888888888,3,149,50,7,False,2,IC,7
1,0.638888888888889,4,149,50,1,False,2,IC,7
6,0.638888888888889,4,149,50,4,False,2,IC,7
0,0.5277777777777778,6,149,50,6,False,2,IC,7
2,0.5277777777777778,6,149,50,5,False,2,IC,7
5,1.0,1,159,60,2,True,2,IC,7
3,0.861111111111111,2,159,60,3,False,2,IC,7
4,0.7638888888888888,3,159,60,7,False,2,IC,7
1,0.638888888888889,4,159,60,1,False,2,IC,7
6,0.638888888888889,4,159,60,4,False,2,IC,7
0,0.5277777777777778,6,159,60,6,False,2,IC,7
2,0.5277777777777778,6,159,60,5,False,2,IC,7
5,1.0,1,169,70,2,True,2,IC,7
3,0.861111111111111,2,169,70,3,False,2,IC,7
4,0.7638888888888888,3,169,70,7,False,2,IC,7
1,0.638888888888889,4,169,70,1,False,2,IC,7
6,0.638888888888889,4,169,70,4,False,2,IC,7
0,0.5277777777777778,6,169,70,6,False,2,IC,7
2,0.5277777777777778,6,169,70,5,False,2,IC,7
5,1.0,1,179,80,2,True,2,IC,7
3,0.861111111111111,2,179,80,3,False,2,IC,7
4,0.7638888888888888,3,179,80,7,False,2,IC,7
1,0.638888888888889,4,179,80,1,False,2,IC,7
6,0.638888888888889,4,179,80,4,False,2,IC,7
0,0.5277777777777778,6,179,80,6,False,2,IC,7
2,0.5277777777777778,6,179,80,5,False,2,IC,7
5,1.0,1,189,90,2,True,2,IC,7
3,0.861111111111111,2,189,90,3,False,2,IC,7
4,0.7638888888888888,3,189,90,7,False,2,IC,7
1,0.638888888888889,4,189,90,1,False,2,IC,7
6,0.638888888888889,4,189,90,4,False,2,IC,7
0,0.5277777777777778,6,189,90,6,False,2,IC,7
2,0.5277777777777778,6,189,90,5,False,2,IC,7
5,1.0,1,199,100,2,True,2,IC,7
3,0.861111111111111,2,199,100,3,False,2,IC,7
4,0.7638888888888888,3,199,100,7,False,2,IC,7
1,0.638888888888889,4,199,100,1,False,2,IC,7
6,0.638888888888889,4,199,100,4,False,2,IC,7
0,0.5277777777777778,6,199,100,6,False,2,IC,7
2,0.5277777777777778,6,199,100,5,False,2,IC,7
5,1.0,1,100,0,1,False,2,IC,7
0,1.0,1,100,0,2,True,2,IC,7
1,1.0,1,100,0,3,False,2,IC,7
3,1.0,1,100,0,4,False,2,IC,7
4,1.0,1,100,0,5,False,2,IC,7
6,1.0,1,100,0,6,False,2,IC,7
2,1.0,1,100,0,7,False,2,IC,7
0,1.0,1,109,10,2,True,2,IC,7
4,1.0,1,109,10,5,False,2,IC,7
5,0.9722222222222223,3,109,10,1,False,2,IC,7
6,0.9722222222222223,3,109,10,6,False,2,IC,7
2,0.9722222222222223,3,109,10,7,False,2,IC,7
3,0.9583333333333334,6,109,10,4,False,2,IC,7
1,0.8611111111111112,7,109,10,3,False,2,IC,7
0,1.0,1,119,20,2,True,2,IC,7
6,0.9722222222222223,2,119,20,6,False,2,IC,7
3,0.9444444444444445,3,119,20,4,False,2,IC,7
4,0.8333333333333334,4,119,20,5,False,2,IC,7
2,0.8333333333333334,4,119,20,7,False,2,IC,7
5,0.7361111111111112,6,119,20,1,False,2,IC,7
1,0.7222222222222223,7,119,20,3,False,2,IC,7
0,1.0,1,129,30,2,True,2,IC,7
6,0.9166666666666666,2,129,30,6,False,2,IC,7
3,0.875,3,129,30,4,False,2,IC,7
4,0.7638888888888888,4,129,30,5,False,2,IC,7
2,0.7083333333333334,5,129,30,7,False,2,IC,7
5,0.5972222222222222,6,129,30,1,False,2,IC,7
1,0.5972222222222222,6,129,30,3,False,2,IC,7
0,1.0,1,139,40,2,True,2,IC,7
6,0.8888888888888888,2,139,40,6,False,2,IC,7
3,0.861111111111111,3,139,40,4,False,2,IC,7
4,0.638888888888889,4,139,40,5,False,2,IC,7
2,0.638888888888889,4,139,40,7,False,2,IC,7
5,0.5277777777777778,6,139,40,1,False,2,IC,7
1,0.5277777777777778,6,139,40,3,False,2,IC,7
0,1.0,1,149,50,2,True,2,IC,7
6,0.8611111111111112,2,149,50,6,False,2,IC,7
3,0.861111111111111,3,149,50,4,False,2,IC,7
4,0.638888888888889,4,149,50,5,False,2,IC,7
2,0.638888888888889,4,149,50,7,False,2,IC,7
5,0.5277777777777778,6,149,50,1,False,2,IC,7
1,0.5277777777777778,6,149,50,3,False,2,IC,7
0,1.0,1,159,60,2,True,2,IC,7
6,0.8611111111111112,2,159,60,6,False,2,IC,7
